# dtype count scale_hex data_hex scale_bits... | back_bits...
mxfp8 1 71 7e 3cec6455 38800000 43e00000
mxfp8 1 8d 7e 4b101e23 46800000 43e00000
mxfp8 1 97 7e 503bc032 4b800000 43e00000
mxfp8 1 76 7e 3f8184b8 3b000000 43e00000
mxfp8 1 7f 00 00000000 3f800000 00000000
mxfp8 1 76 7e 3f800000 3b000000 43e00000
mxfp8 1 d9 7e 7149f2ca 6c800000 43e00000
mxfp8 8 77 e978e37ed0665336 be8e4e04,3f7dfa41,be3783b7,3ff07a21,bcfb867f,3e5a5d87,3d329430,3b5d834c 3b800000 c2900000,43800000,c2300000,43e00000,c1000000,42600000,41300000,3f600000
mxfp8 8 b3 00f17e8000800080 27eab315,dd163f04,5e21e57c,a80f2686,366b87d9,c2652c27,4c9eae75,cb6013fb 59800000 00000000,c3100000,43e00000,80000000,00000000,80000000,00000000,80000000
mxfp8 8 bb 007e008000208080 43f8d217,61ea26db,2c02cd29,99148f20,1ca2fa75,5c04d0a2,a8c3cb5f,baa60296 5d800000 00000000,43e00000,00000000,80000000,00000000,3e000000,80000000,80000000
mxfp8 8 78 f5f5fe7d69ebe872 bfd06325,bfc93984,c0601b4a,404b22d8,3f10921b,bf36ff05,bf05e50c,3f9a6dbb 3c000000 c3500000,c3500000,c3e00000,43d00000,42900000,c2b00000,c2800000,43200000
mxfp8 8 7f 0000000000000000 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000 3f800000 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
mxfp8 8 76 7e7e7e7e7e7e7e7e 3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000 3b000000 43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000
mxfp8 8 d9 7e00000000000000 7149f2ca,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000 6c800000 43e00000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
mxfp8 15 7b e3fb33e5deb1fef42220c7b1dedd96 c02de257,c1b6dd53,3d33f2bf,c055b4bd,bfde224d,bd101fdf,c1fc8531,c138afd8,3c1a5548,3c02f67b,be6ca2a4,bd0ca5b6,bfe03972,bfd352fd,bb646357 3d800000 c2300000,c3b00000,3f300000,c2500000,c1e00000,bf100000,c3e00000,c3400000,3e200000,3e000000,c0700000,bf100000,c1e00000,c1d00000,bd600000
mxfp8 15 be 00fe00000000008000800080000080 38afe7ad,e3802afa,25117d25,4df7621a,56d4ecaf,5517cae3,4b1e6b79,b9c8c58c,4a4b5ff8,a9f58ebe,50197dd9,b57906ad,482e45d2,41178c14,d8fb22c5 5f000000 00000000,c3e00000,00000000,00000000,00000000,00000000,00000000,80000000,00000000,80000000,00000000,80000000,00000000,00000000,80000000
mxfp8 15 e6 00fe00800080000080808000003800 1eb57729,f7a6b3fd,6c56c527,bc8de9d9,5010cec1,c410afbd,0e9af1f0,2785ab54,a3cb6c8a,cc868592,846a82e0,02530924,296e071e,73026910,2a85b433 73000000 00000000,c3e00000,00000000,80000000,00000000,80000000,00000000,00000000,80000000,80000000,80000000,00000000,00000000,3f800000,00000000
mxfp8 15 78 78f9fd71ed7e71f0ede975707af8f9 3ffe6844,c008e4c9,c0521b4e,3f957621,bf4c0c5e,4062525a,3f96650d,bf7c3378,bf53cadc,bf09a8f7,3fd1d5dc,3f7c27b0,401ba825,bffdb278,c017a208 3c000000 43800000,c3900000,c3d00000,43100000,c2d00000,43e00000,43100000,c3000000,c2d00000,c2900000,43500000,43000000,43a00000,c3800000,c3900000
mxfp8 15 7f 000000000000000000000000000000 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000 3f800000 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
mxfp8 15 76 7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e 3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000 3b000000 43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000
mxfp8 15 d9 7e0000000000000000000000000000 7149f2ca,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000 6c800000 43e00000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
mxfp8 16 79 21d87e5fe53eab733dd6c7ba766e6962 3b0902cc,be82c0ee,40ed0ff0,3eeefd48,bf48a7c7,3cdb5959,bba8d2ec,4034a7f4,3cc890ee,be61db22,bd6e71dc,bc9cc692,405c7337,3fda9228,3f8b82a6,3f227426 3c800000 3e100000,c1800000,43e00000,41f00000,c2500000,3fe00000,beb00000,43300000,3fd00000,c1600000,c0700000,bfa00000,43600000,42e00000,42900000,42200000
mxfp8 16 bf 8000000080807e800000001880005ff9 b39c660a,20032bb8,31422df3,261346b1,bd1197d8,b69c6f76,6406015c,d94e791f,580d32bb,3074a446,2cb63d4f,5d7b36b0,a647b5de,4a7a98e4,61f64314,e388e476 5f800000 80000000,00000000,00000000,00000000,80000000,80000000,43e00000,80000000,00000000,00000000,00000000,3d800000,80000000,00000000,41f00000,c3900000
mxfp8 16 d7 00000000008000fe0080008000808080 3a8bdfc2,30945958,00bb1370,151e754a,32a06022,c9600839,12173fd3,f02d3300,089cafff,8a9aed3c,42de6420,86c5dd62,5876f288,c846b86e,80ee79f6,a5a4092a 6b800000 00000000,00000000,00000000,00000000,00000000,80000000,00000000,c3e00000,00000000,80000000,00000000,80000000,00000000,80000000,80000000,80000000
mxfp8 16 78 76ebe87ef07d7c6b75707474f1f4e8f9 3fe49849,bf326306,bf05d01e,4079b049,bf855a9a,404cf8cf,4042d241,3f289360,3fd52fb8,3f836027,3fbcd12b,3fc51764,bf942366,bfbc1f06,bf03aab6,c00b6fba 3c000000 43600000,c2b00000,c2800000,43e00000,c3000000,43d00000,43c00000,42b00000,43500000,43000000,43400000,43400000,c3100000,c3400000,c2800000,c3900000
mxfp8 16 7f 00000000000000000000000000000000 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000 3f800000 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
mxfp8 16 76 7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e 3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000 3b000000 43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000
mxfp8 16 d9 7e000000000000000000000000000000 7149f2ca,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000,3e800000 6c800000 43e00000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
mxfp8 17 7c ede669b9affeb7d8be78d55e5eea5bedde c149d4fc,c0e202f2,410ca5ee,be17b023,bd6995a2,c267de09,bded965f,bffc8567,be625847,41fef0aa,bfd0ec1c,405c45fe,40611bf4,c125fd91,402e7e98,c14fff27,c05fc100 3e000000 c2d00000,c2600000,42900000,bf900000,bef00000,c3e00000,bf700000,c1800000,bfe00000,43800000,c1500000,41e00000,41e00000,c2a00000,41b00000,c2d00000,c1e00000
mxfp8 17 bc 8000008080008000007e78007500800000 c77f6c0d,2ce17c49,49ee85fc,c010e3ab,c31c25e0,4b1439b7,a57986b2,35af6c7a,3c58b95e,6265d122,61f94f2a,56dd4656,61cbf752,3348bb78,9e4b1301,36598440,4586e3af 5e000000 80000000,00000000,00000000,80000000,80000000,00000000,80000000,00000000,00000000,43e00000,43800000,00000000,43500000,00000000,80000000,00000000,00000000
mxfp8 17 f4 80fe1d4280000000000000008000800080 c702d814,fe7e7854,78521c39,7a9e7eff,850b31a3,690c824b,48ed03d4,5d203c2b,3bfa95ac,22bb91f4,39896c21,427db395,894bb4c4,559d1638,ee97094b,48281d96,b6d8d1a0 7a000000 80000000,c3e00000,3dd00000,40200000,80000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,80000000,00000000,80000000,00000000,80000000
mxfp8 17 78 e9ec74fef3f6eaebfe6bf7fbe96efe7c72 bf104cba,bf47953f,3fc544a1,c07cf9b2,bfae6b13,bfdbd3c5,bf18e541,bf2f35e5,c06397d8,3f2e4d35,bff53a2e,c03256d7,bf1332c4,3f6043f4,c064780a,40479e30,3fa635a3 3c000000 c2900000,c2c00000,43400000,c3e00000,c3300000,c3600000,c2a00000,c2b00000,c3e00000,42b00000,c3700000,c3b00000,c2900000,42e00000,c3e00000,43c00000,43200000
mxfp8 17 7f 0000000000000000000000000000000000 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000 3f800000 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
mxfp8 17 76 7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e 3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000,3f800000 3b000000 43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000,43e00000
