# 48 颗 chip 上连续跑 32 个 token：每个 token 出口上的结果
embed 6144
inter 2048
slots 8
experts 2
token_seed 4001
w1_seed 100000
w3_seed 200000
w2_seed 300000
w_ep 3f400000,3e800000
token 6118af2f5bf9a3c3179952ec33a38a18ed692e33b580a09f7a19ecf5b11eb5792510e05f82a302c09f168a5b8e54ae0c65cd170ccb114bee4231de5536d55876c91de5515c39bfaeddc75cdad3ef571f2b401e04c0496149acf736a150b20c2d253656bd4131f3c5a9a15f2159ec9c8914bcded2eca1f9ea90648b91582ce9d81253ca5a8a06b63ddb9f2ce878c29681f939ed2ea7902c07c67076dda5bc06ad666ddae28d2d1f4e4bb65be788e95c41b3aee4cf498e11d926118e3d8fd97ce5fb7b1e0ca4214730d2e083d5e2da080019135b6f2b14c29989426d686efb63b8a8762d8f2757451b47153e6cdd0cb0f60361e9c4a399557dc6f8a9189a9bd25f4555a1256c493346814c2163d0f86d5a498f27880b96e2beb52eda046b31e210aa100f84cc6f27eb5a7dc77116155666c396ad71ba8283942ed99ae33a33ab04b0a01265a0403940aaa1c65004db84504a6d123809d64e3709f37e6f5e1c44732dfc40813f34837e47afb7b7f3c30f52b50def954e095bdf1f74225e2f61c795fb1d328e01c41bde0ba0325d3c450ea2dc6ddc41e394c4c447521a6a057c49a1f1fa80453e671a96cd6bcefb36d89b79978570f21fee9f1d5888004938e5e5d1e78cc15e4f9697e06508244a39f4cb10be4e45615a8f05242d0b6cb42113b15cb6ca8e918ac8abf2ab70cb009d12b99d2abff046ecf00d109bd6f563177ec67934ad7e9649756e05779b5dd6baa97b59b1d10c592d88d0187bde350f729f3c623b2c2b25e316f751a2807084e9312a7c2d7b2f5176d06676a61dc16e8aee2a4ea23f2bf6b023600e03179cc28023de3e75b6f2e81e3fe760f38b3439b7e1a97441df17c00913be7472597b48d9f7aed76179edd57d4d6a103a1f242852f3d00df103863d445e2cbbc73da3ce4b24b37ecabdb7d0eb7308bc53d12af3b199b95288a41124bb7dc01bdabbad0c2f22056d8679e990c029d89d179ade512e4d7a79e0b9502cc5e793cb84cc30badb6abbdb6fa51acf55e6f4eb5c71d7fc20872bbbd03bdb0fba15bd059b68c58fa973ee005c3ae443002272dffc4faeabe0bee65030214983f27e5500f9860445f0b6b613252fdda61b566aafce2bfb15c46ac170d8633342c69a74f3751e859308aa2a4ea37d9daefdf9f694aafe55f42604d553a1fa30028ce23218e829df3049c763e7ac1bbe14fe842cc669bf55fe5d03393161ded97c9ecda6a5289eabd60b8679181a02d690776e247de16693edc1e00642f206c66853d4e9d30f76803ba75f8417c4297edbbf2ff8f0ececa677aa1254be2b6a8f7e046e13db74a8f81974c99b1e82884dab2d40be596148275670113bdde403cb7707143bf32f2ca926ca3cd7632d18dcb91c198fef1873ae406c56d2d6f6c81309b63d7a5418fb2b1b01314f1f9bd0c3bde13082eae964d3eef45932e337b1feec6862e836070d17b0711f1c8aa6a9996fd500b081ad142d186291723b81b726da75fa9dd1d559069d737e56dc259af88751fe31ee3a7a55760e76ab15abd2218a357db05d59d78d9a5ec7154df09c75bcaca51d676a8fe2c04e81f5ab8df888b400643a126a80475f8a727015dfa6abc83d6a8b2614496dae7b2968330024f2102f265228e34bcaa44ff6806ccab130625fc7946111a38ef8eee71be6da4cf855183c12d79930ae2105cb5d8a8ab49d4167344f513793dd56fe3227fdf568323d151d905765288d8e046a1ea6f6a78a1faf28d62e6011f1800382a4ae2870387e7d42e4df202bfda3a54adcfae6838eb28d1b3e316216632e5550a9324b5da1d2a92227a9a13097173fe4afbd323f42b45b86a2901799cb174d1450c1362706efef3571ecc02ff2a42aafae26b2d43edb70e018845792c0f54144ae93c2c5fe8ea9f4dadf5521a801be23f26f3f3919e024a1b945f8fadb7e8b5bdee0c52f22682ed77abb39fd4ee554b993ceb0666c7cd0439d0bd3c9b46c82cef6e0195e0a33d65468b943bc7e0a42e9a97cdd55cf65cb3bdc0dc1f6e2757e170fcb95494ea8f9e6bc0f4a55d126e22a4bb29efbd9546c038d859979fe53d8ae40d811e9857ef00290f628c1ddf28bf492a6cb5224010d12c8aa334ba0bce60aa241663548701122faa7b5f73b2695c095913d51452406e1a7b46863606902a34d3d6b262f33b6be1358c7ef827b59056dabcaf1d775ade740da0ebad51283f25903f7b3d180364df24238a24ba72d3b322c4c2970ac5c9dac56fe47986fc16fddcde4d4c70fe947b09dde072e636bdbfc4c9af2a980697a025e120240381590f2d10982a997282565a19317c2676a5de2438d431aab2ef75c2c1fe46725d5d0b0493fb40ed2495e29862ec9a06b8238fd49fb145ae4038bd0f6fee4a3ee5ba42e6b5c638f77a66b1383881660270be46596be5e02e23eae76f587fb8c4bfe8685703a86c43d96c33cd277f59a525eda3162ac19a95f38d967619321bcf416eecd90b01645de71dfbcaad55ee5a6d1917ae49f3ce9114a84bb73f94cc9a0fb531d04960aa9108f36aa42794adadabe8258566fbf58b2cb258a6191764b09052d8e02c45a898d49411fd43bb010a57c24e2eef29b8ef81337eb643397dce68df538c313fe7c0bf5763396f38920c163ef32e602c7259c7a2ff7b4b7a612eeea22327e59f11b43ed50fdc27acca2e4cc5c5d74753bb3575987c688f69b85db742d966e7026feed8845968ea6722ec80de37ed225f0d1df07b76f1ac76fcf63838d79c72f99bdc21fcd163451725b2380fbab36e9de16eddb360ca1011a863f70baf6c46f3fef78086194ea52c5c2af7c1cfdd99afc1b392f7cb2557e924328912d239c06122dc89d7829e98162fb2259bf8bf30e42787b5b027c6d16d29dd4405e1986ce0a0f6a348aed69b7419d35705b6fbc1fa9c46bb53f80239fcf2dfcd4c4efbc9d1e2c152710f8a2ca5b41a01768bf6ca42899c197acd7aef3838b58a5d7bf754d461d83ce8261cc94a77e1ba85f933b75b88d3457c09845e9e64fa00b109fe8b67b7a6b7e56411fec1eee5e7ab804616a50387e4ff4dd2159ef108c5fe6a74eaeb5da859407afd3aab72721e5ea2a165ce83356d7bfbb7b1b9667d4f8d2f1e00eead688630ac420a76bc21c416d1d922179167345994d8908d4ec302d4b93d4af14062e46da983eb9315607e7baf40d93fb798ff2fba984f6a0365858c9a563682b022d94ec4364ba017d992d48c8be8965f360375ce8a4bff3de03d1c541c51126613fa6badccc81d4cc8c6d90b1dfdbaf1da06b3522223ac47bebeeb77d3282febc1ad2bc7cace6a1de97fe09c7a762d18f05e6fd6e343f0ca7c6091572e294aaaa7872693b3ec1614971392b214df4c5e048002de513a7c2f84e795a370d1e22c40fdd3930b8eb0ba6d4746fd70a6b80a922123c9ff648de073996fbe5ebf75fa2986ba574543a988d76094d03179efc824973a3b317fc596b41b87294b4f958dccb74241f4888fe95114e3bbbaa653103767ad83aad9a2abd1c37375ba0fc060960502f49cdac39575b9db418fc9816c36181564cf0fa4a95836cc154e7d660c20f583d091b7e3d6a0d4e2d324510a35ac2e0930117f4b08a2fae8895c0615e9f90e3c6776bd70368dfb72120bea4d16251ed07705c615536d65505366573f9379b4943adf38d84e7893105fb9d2b9771c6022bb2f617302e31b9b0500ce62923e8e22cc1ec7ab780c31553da1b7eee20d87576de1cf0390df832fefbef92e5fb2f06f8cc8e7595ca45ba83d77078cd0741a0600d07c36969e3196d4f444d2556270e1fe61056155ec7780c08d3ec2cbdb8db6257f069b8dbaac46f6344f0e2cd8a511a26acf530d401a866857eb504dbf47cf4d40db81dfb058d7e50285413f80e2760a5992bddc3aba00a68a8aa4df8afdc8d9b978a9060abcb152e2650b06f6de8697a0fcf14c47dba6fc789a3fdae9f54a5c5c6b509a356d6a81477bcb2c95decafbf45b9ce6f2e4d0eba58780f937e3bb56ad213825cbd07b01b5371119f988ca78a75c1035c78b15e5b4f01783f02e934a1f37cf02297b5a65bf245c488d41ecbf3d5bfa922123ed7c0a417334ce4b69b8361c64d8e9e3701ec8c12c31dcafc92149f8bbb5ab34cf20291913550ddfb612854ca913888e73ae559ae07f6337d750309fe2e9b143427384c4678e4a30efea70461b3b70f1dc85f91f487abc5faebd84ceffc7eee4dec7b0e11f49fef49eb19a962aba4e92f23716bb93cd339c96dada1361d9cf7efbce30fc79f1a7903a0967ba57297cf77c43421d61d07474472983eab888ae8720c88884174edf9959336b103fe28794b23c0ea2423dfa7c173b25c2735e37a2e5781af5869af27553f1085524aeea005b72dfd7a45f2119ae71233801d3d637c12e7bde376fabb9d193d2d6c4c82fafcf89294b07bd93c2746d2fb9037305cb2b7d1eaba93646dc39cd4e328fd7b40895f08e59ebe2ce2be0907ec2e7c561d2abe596eb5ba85f4213deedd5e54732a0263a72a1c0582bab9a7cc3e32e3455e3b9e9581ade0f60a0e76a355e649fe70c17d86990349747b6e993729746596d63ecf9d5a78fe4f65e3bf0b8198d5bac91d24be6b29819adf375661e4cdf9e03f89ca8b33f00e28bff68e3d9a4def3aef6ed067d968a68c9d6b5762a91497bc5076067543ec0618cea15e52d8dc9018990cfa981997afe16c631351af2038c2c15cfc73c144dfb84c3ba562731dafec7e501a6a648f9432057502472dccd4894993239fe7d18fa0ef1cdb84a3e8454d5890a6f5f2264e1621fb9d5c5ded61aba273f30feb691067719c78d1a01549d4de261950fb36d526764c5ca7755cdabe8254e5dc07e65aa68814f661a27db319c769e894b7961ffabdc0b541aff2345aa38f711d711f64f5eddaca4be1f77cb4ccb18dd95d1e272aaeaf234241866918bb7b0deb62ec26ec58486ea8955a9b3ca657803727a6e24d01711bc164f071908370345e1326992281b55990f68109490bb138c54c064afc6e5f17d75008435ab4c65b8ebaa3b530207a041b3b41bd75b4192d9c041757cfadd08f9c3da6d70d04d5fd92903d70adedede6609e73b05659e6d8d386b0005d761cfa2863a326422cf68f83cdcbc532a068787755f0d985b270b1840ca93d3f819bd092fad62891e4808b79a925a957f141317a9a8f319a780f2ec5ccda070d86a58af33a17d391e4cb698b5c2316b497d28a7ea328af2c601ccaaefe1b565e3c939f625b3e21dce42fa0d21e9d04e04c72fa9faa934bd425eefa59de4520cb5dbc88f995230a079c04a866276c6a74c77af9f2e5a9fe297edd38dc9f2e60eca078bcce209f85adc4a2fa5eae674007bf40008f8d40bfc52341fc4f7bb00b59bc1fb4f934888b6413620dd3ed667e33ee1e878fda32873ecc72bdccaaa21ba96b09e79308b812c5439b5add1b411e8e0a6b040a04564d2c30c8f36964dd8875638fceb4d60615670ba558936fd016b0cc7ef21743840929099c173fe13749545d07df74d44b8ae322d87e0e23ec5e33edb2c6cfcf95b4cb0d45a065598a56df11cb95ea3c5d69d1428d48666d6cefad235dfa4ae05f46aaf61b07f404ada8ae383266304416aac9211a2bb28628c0b727d6069faebcb6607a76c3041a7836598894ca5b254d476278d99e0ca7f8c9e8b17761e77183fc8353ae4cacd3c3f977ba4a398618da353500211c8906b403d97997833a618c11ac371c1b066766e8a186aa2dc753956eda6f4a1a44dc356622378fe5afb5afec72df17a8280d3afb6fa40e1b370f56eae87ead13536151e85ba3b5fe60a7c5866e03f76a2afe162b78cccd7ded84f69ff8e5a07ccfcde2841b756347626da4d6385b14d92573d27055b53fcb02ea4c88a25c7dcfd058bf2ffb65ef37d04126d4689fc66e31a346c19e19bd7b8e792f9a7d9b9b846d3ac1e3922ab347c0592279958766a066c54a16eaaf9d08a9697ad0225a5212bfabbe98797e06ee4bef71bd58cb4ae8db12b768d22f39e76af2021f2951faf1dee39045481841a48939e9964923ccbda9c363aeee50e893ea4ba0812a38ec9ae1190de297afbae2917064fefe474397e80e28e1d6cc028141ae2deebcc77e84e1870f68fdfdcb1f7cccb8ed13ee08efaf2cddf82159e02b8652805d78b50a28f6646ece13b8cbd46285bf5a1dd2713c17555beb68b0d809d26e71c6f5bce7fd37e7000d719912785ad3513eb4aad8f738c178b3428a44923d3cd822cc926d7bbd4a9f1cae59f8847dee4490712d94982aa80e47489d7b3edef28e6895f1f51ba0c321f463aed66fe30e7148ec15fd950442f4a012a2d586cec96a91e88fd555f88b608c285102b2a36bb15fbc186b68dfc702b53851aae125fa43945c26679fdcdb33dc95fad6c3d63ddbcd7aef3689d26f107e516252c8fabbf3698a6c027465e973dd4161a91d94bbc788be53b76ff671f6f5f68d26b2664552090a1afe49aaeef686c53ed336f41f4e8b20fa449263078d10bf8a7d1781d0366c73e8b499c42296d0b849ad860fa046cb379d376b3167acc74311af70639479885e8f7ad9cbbd2ab2b33a8d86fd7589429cf4e87277cb2b121bda143523c9f15863c5aa83d7f78a254ec9cdadd6d8eee8e6b7ad1d4e69e2eadf9d04dddaa778d219439b0ffe088e2021adc473b1fe4db4ae9edfe6ce7ba9462611d8e09f66e5ee19c1a5f45c280f9cc3a0ca51a7237e9e8c61d7450e37591f89f0e7b78b3e11a4fbf620aa068fe390cd5938bfd07d599f18b8ecb127d6c96ca0f189d9b667d2ed569c65aa1475e4f4d78f64344343b7aee95b76a33191d02603cb16be381802c1c36acb6b9f11e9c178fca82819ae6fc49801cd92439e49444938e6e0288b7817da18a966bf9dcaee49565b1469f659d8bd644af6763609be0bee51b49ff70ce7335d59128b4f6074e256d56f4d534de3ef3a4348e291e98de0a6b0b4b593962a65f333e71c61814adab56eb2dbfd23dcc73d12fe9ee7c2a961195a578198efd709908d5e8a090769ca297e542b2cb4bbdd230e94c3706b0926fda7161c3fede7b6eec1efed81c9c84a6b5ecd5718d779c8a68f7e6963bca5c70bef689ebe6a5106c325105cfe9f5ff133659675f9630d227cee35a8fa8d75dbfb8bc61f4e3d0d8fc8133cf0bc61275839eb279e063370805e8132976cb773fb85d1a7b6283e14e9b6e3e8c0f0e817173548f6e9791c997d05a2ed4ff11094bf611b847b82465eae43eb8fe6d30a28c6dfd57e6f89f781af27a8dde7c072d2be47c0d488952be2742885a6779ea151fcefe834486d9d1faf7deb7a7913b42591ef180ff399c798d31d07a78e86848b521ddb938c5fe56b14bfc43d1b20ae83d0107caed5c6f17965dacb0a41c68ccd5f2005105295a75e78a5899de52038e7126442284654817cc0172846a9958f10bcb2be25b348bbf071e79413f14c2b46f0a2c4f65d7a50997d8c77d3de2b674a018a5f4ac6b1fa18973d3c1655da5e9b0281598f337234c933f00e2af7c0eb76c65f3ef5a5063ace835ed91e2903a9dbe0bb596cdf7307047bfd47c20d8bf38aa2ebb5a16680550bcd04c3a487fee40021061c047bb4a041ed6a791438c6577e2ee41bc4215722c60de6521f8506e7025e1cfbcf1d6fd77821effc978fa8ef4b0203c8d6f0c379f7dabbdf083b508ad82eb34d46ddda84a2ae4328c32c6894e8b501144fe9fc3397ce3dc1d7c315a67a2a846ae1d52f80b62d205511243f1c4de09458a8243a269e7e225002338d12e1ea47aa161ba4a1ad353cdcf9926661731b75ea59bbb52c038524e403a4f0a60406b46560c773c17e605014f18c133b52fe5c24d9c4a51cbe79f9d6522d763adc1584f334f3d2b721431555742b7e80e120015da05841cec8f35a7c66e857a760b06dad0cb5fa5b8f7941f7f786e309181a1ced278ec31a188afe30b7eacac3886f27ea60262386c0988d52f5b775aff083652de57e62d9a6d7a149be4e09684de96c02a75d850eab39b1bfe3d46e4960f49473534355e16c72f61ff32a4a6da7b7f34d597458cd48f465943bf506af61056119e8f2d60c5ff3b70acc97c7aa8d717423ef80d49a9061612b753375b9ea4e84761da31b3179f19c63c3adb6f7f7aea7dde09c314d7a175ddc08a6f240f366b4e2696f5d29b1055d815083502dde0843d2a5dea7befeae11fd6c66b71a75e6abb6446dd5ca00c6b1bbea32ce2339140259b55f6ec616c035e71a8afb2168661f4827b7b9ee5dce526b0ad266b1016d9acd8937bd3cb7e381f3892bf62cc37dcaf28a63426bc1b3f7e9277a51af2da9c583987dcef8dbb0ac783261df137ec4620be389a81b230d588bb943c7f5b56139d45a4ad7d279be70ce8c44f0af92d3a1ebad4323d67c762cab3945005b922caf1948b612a28aa7834d0feb5fd6f6413dea5da7eb72c3842da01e9834babba4e0a9dad8b54005009f4e346f6662a2a7ef616dcd38c8f0d011c2e1539be9295e82dc87c9fa85e3647a2773e73b2a8f9d6fa655cf42b1fcf19169f98f6dc0d3f54e0ac7a117481b69ce32426c1706b5ba75138cc34104df8066edde63e217b2fefc8c12774561a6a851c61c1633ce0b97b9fe8ac26c998f1546a709e831c7bd1544b8e264bca87bb9bc3b76fdc55b89ccf3c2c8e3fd490647eaeef23694
token_scale 747771737577757171757878767775747578767573727178737476737573787375727676737271777677747578787573777475757175787775767576717476727775757276737276727776737475767177747173777278737272787473757174737874787673777577757877737872757578727677737874737877757577737171737577737278757271787374777877717878777776787178777872747273777876777774787575767378777874787872747475777571727871747273757178
