# codec in_bits encoded back_bits
bf16 00000000 0000 00000000
bf16 80000000 8000 80000000
bf16 3f800000 3f80 3f800000
bf16 bf800000 bf80 bf800000
bf16 3f000000 3f00 3f000000
bf16 40000000 4000 40000000
bf16 c0000000 c000 c0000000
bf16 3b000000 3b00 3b000000
bf16 3a800000 3a80 3a800000
bf16 3b400000 3b40 3b400000
bf16 43e00000 43e0 43e00000
bf16 43e08000 43e0 43e00000
bf16 44000000 4400 44000000
bf16 c3e00000 c3e0 c3e00000
bf16 c4000000 c400 c4000000
bf16 3d800000 3d80 3d800000
bf16 3dc00000 3dc0 3dc00000
bf16 40c00000 40c0 40c00000
bf16 40d00000 40d0 40d00000
bf16 40e00000 40e0 40e00000
bf16 3fc00000 3fc0 3fc00000
bf16 40400000 4040 40400000
bf16 40800000 4080 40800000
bf16 c0c00000 c0c0 c0c00000
bf16 40490fdb 4049 40490000
bf16 402df854 402e 402e0000
bf16 0da24260 0da2 0da20000
bf16 7149f2ca 714a 714a0000
bf16 f149f2ca f14a f14a0000
bf16 7f800000 7f80 7f800000
bf16 ff800000 ff80 ff800000
bf16 7fc00000 7fc0 7fc00000
bf16 3f800001 3f80 3f800000
bf16 00000001 0000 00000000
bf16 7f7fffff 7f80 7f800000
bf16 3f808000 3f80 3f800000
bf16 3f818000 3f82 3f820000
bf16 1f6c6455 1f6c 1f6c0000
bf16 2d101e23 2d10 2d100000
bf16 503bc032 503c 503c0000
bf16 200184b8 2002 20020000
bf16 bd8e4e04 bd8e bd8e0000
bf16 40fdfa41 40fe 40fe0000
bf16 b4b783b7 b4b8 b4b80000
bf16 4d707a21 4d70 4d700000
bf16 9cfb867f 9cfc 9cfc0000
bf16 345a5d87 345a 345a0000
bf16 22329430 2233 22330000
bf16 055d834c 055e 055e0000
bf16 73deddaa 73df 73df0000
bf16 6aa342ee 6aa3 6aa30000
bf16 966a3d4a 966a 966a0000
bf16 4021e57c 4022 40220000
bf16 7c0a4b03 7c0a 7c0a0000
bf16 736d9ce1 736e 736e0000
bf16 6baeb3a8 6baf 6baf0000
bf16 656196f2 6562 65620000
bf16 9e8b44ad 9e8b 9e8b0000
bf16 ad6013fb ad60 ad600000
bf16 43f8d217 43f9 43f90000
bf16 61ea26db 61ea 61ea0000
bf16 2c02cd29 2c03 2c030000
bf16 99148f20 9915 99150000
bf16 1ca2fa75 1ca3 1ca30000
bf16 5c04d0a2 5c05 5c050000
bf16 a8c3cb5f a8c4 a8c40000
bf16 baa60296 baa6 baa60000
bf16 bcd06325 bcd0 bcd00000
bf16 7bf01974 7bf0 7bf00000
bf16 c94e9565 c94f c94f0000
bf16 e041ef78 e042 e0420000
bf16 4b348676 4b35 4b350000
bf16 10a9a260 10aa 10aa0000
bf16 36e1686e 36e1 36e10000
bf16 05e835d0 05e8 05e80000
bf16 9a0f4325 9a0f 9a0f0000
bf16 adce584b adce adce0000
bf16 36deae82 36df 36df0000
bf16 b38f79f0 b38f b38f0000
bf16 d5c85fb9 d5c8 d5c80000
bf16 5e59a90c 5e5a 5e5a0000
bf16 9064d5f6 9065 90650000
bf16 fcf83518 fcf8 fcf80000
bf16 38c1d4ff 38c2 38c20000
bf16 1a04dc30 1a05 1a050000
bf16 02a68a8a 02a7 02a70000
bf16 6cc414d0 6cc4 6cc40000
